Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 3.96601 :  Y = -0.471784 :  Z = 0.130622
X = 0 :  Y = -0.0650736 :  Z = 0.866854
X = 2.00633 :  Y = -3.30249 :  Z = 2.1137
X = 3.46831 :  Y = -0.862226 :  Z = 1.68621
X = 3.68605 :  Y = -4.0183 :  Z = 2.49369
X = 1.60196 :  Y = -3.07473 :  Z = 2.24432
X = 1.78859 :  Y = -2.14743 :  Z = 0.106872
X = 3.70161 :  Y = -1.26894 :  Z = 2.26807
X = 1.91302 :  Y = -3.17234 :  Z = 3.0043
X = 2.16186 :  Y = -3.15607 :  Z = 2.61244
X = 3.82603 :  Y = -0.732078 :  Z = 2.67181
X = 3.15725 :  Y = -1.02491 :  Z = 2.04245
X = 2.76843 :  Y = -1.15506 :  Z = 1.36559
X = 3.6705 :  Y = -0.878494 :  Z = 2.00683
X = 2.13076 :  Y = -2.84697 :  Z = 2.63619
X = 1.97523 :  Y = -2.81443 :  Z = 2.88556
X = 3.82603 :  Y = -0.667005 :  Z = 2.18495
X = 3.6705 :  Y = -0.357905 :  Z = 2.41057
X = 0.0311059 :  Y = -3.82308 :  Z = 0.0474989
X = 2.27073 :  Y = -2.7819 :  Z = 2.51744
X = 3.65495 :  Y = -0.6182 :  Z = 2.62431
X = 3.70161 :  Y = -0.471784 :  Z = 2.33932
X = 1.61751 :  Y = -3.36756 :  Z = 2.86181
X = 1.88191 :  Y = -2.76563 :  Z = 2.54119
X = 3.60829 :  Y = -0.40671 :  Z = 2.13745
X = 3.71716 :  Y = -0.195221 :  Z = 2.36307
X = 1.94412 :  Y = -3.18861 :  Z = 2.71931
X = 3.12615 :  Y = -0.732078 :  Z = 2.36307
X = 2.53513 :  Y = -1.41535 :  Z = 0.261244
X = 3.68605 :  Y = -0.260295 :  Z = 2.36307
X = 1.75749 :  Y = -2.79817 :  Z = 2.62431
X = 3.20391 :  Y = -1.25267 :  Z = 2.41057
X = 3.70161 :  Y = -0.276563 :  Z = 2.0662
X = 1.16647 :  Y = -3.64412 :  Z = 1.75746
X = 3.70161 :  Y = -0.504321 :  Z = 2.35119
X = 3.6705 :  Y = -0.162684 :  Z = 2.37494
X = 2.25518 :  Y = -3.00966 :  Z = 2.67181
X = 2.53513 :  Y = -2.84697 :  Z = 0.0949977
X = 3.11059 :  Y = -0.813421 :  Z = 2.1137
X = 3.03283 :  Y = -0.732078 :  Z = 2.22057
X = 0.202189 :  Y = -3.59532 :  Z = 2.93306
X = 3.77937 :  Y = -1.22013 :  Z = 1.84058
X = 3.35944 :  Y = -0.439247 :  Z = 2.32744
X = 1.78859 :  Y = -2.73309 :  Z = 2.86181
X = 1.91302 :  Y = -2.44026 :  Z = 2.64806
X = 0.373271 :  Y = -0.699542 :  Z = 2.1612
X = 3.81048 :  Y = -0.699542 :  Z = 1.88808
X = 1.69527 :  Y = -3.091 :  Z = 2.83806
